"이미지 이름","adventure","anger","authority","calm","cleanliness","comfort","creativity","earthiness","elegance","energy","enthusiasm","excitement","gentleness","innocence","joy","love","luxury","mystery","neutrality","optimism","passion","peace","power","professionalism","purity","reliability","romance","sadness","simplicity","sophistication","spirituality","stability","sweetness","trust","warmth","wisdom"
"fri_1_광마회귀.jpg","0.0%","0.0%","4.7%","0.0%","9.9%","0.0%","0.0%","0.0%","4.1%","0.0%","0.0%","0.0%","6.3%","15.3%","0.0%","7.2%","0.0%","3.5%","0.0%","0.0%","0.0%","8.5%","4.7%","0.0%","11.3%","0.0%","6.3%","0.0%","8.5%","4.1%","0.0%","0.0%","5.4%","0.0%","0.0%","0.0%"
"fri_2_역대급 영지 설계사.jpg","0.0%","0.0%","20.0%","0.0%","0.0%","2.0%","0.0%","2.3%","17.5%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","15.0%","0.0%","0.0%","0.0%","0.0%","20.0%","0.0%","0.0%","2.0%","0.0%","0.0%","0.0%","17.5%","0.0%","2.3%","0.0%","0.0%","1.6%","0.0%"
"fri_3_외모지상주의.jpg","0.0%","0.0%","13.3%","1.7%","0.0%","0.0%","0.0%","0.0%","11.6%","0.0%","0.0%","0.0%","6.5%","5.5%","0.0%","7.4%","0.0%","10.0%","2.7%","0.0%","0.0%","0.0%","13.3%","2.4%","0.0%","0.0%","6.5%","0.0%","0.0%","13.7%","0.0%","0.0%","5.5%","0.0%","0.0%","0.0%"
"fri_4_나 혼자 만렙 뉴비.jpg","0.0%","0.0%","22.2%","0.0%","0.0%","0.0%","0.0%","0.0%","19.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","16.7%","0.0%","0.0%","0.0%","0.0%","22.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","19.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"fri_6_상남자.jpg","0.0%","0.0%","19.9%","0.0%","0.0%","2.0%","0.0%","2.3%","17.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","14.9%","0.0%","0.0%","0.0%","0.0%","19.9%","0.0%","0.0%","2.0%","0.0%","0.0%","0.0%","17.4%","0.0%","2.3%","0.0%","0.0%","1.7%","0.0%"
"fri_7_재혼 황후.jpg","0.0%","0.0%","14.6%","0.0%","4.7%","0.0%","0.0%","0.0%","12.8%","0.0%","0.0%","0.0%","2.3%","6.7%","0.0%","2.7%","0.0%","11.0%","0.0%","0.0%","0.0%","4.0%","14.6%","0.0%","5.4%","0.0%","2.3%","0.0%","4.0%","12.8%","0.0%","0.0%","2.0%","0.0%","0.0%","0.0%"
"fri_8_로맨스 저주.jpg","2.3%","0.0%","7.2%","0.0%","0.0%","0.0%","3.9%","0.0%","6.3%","3.0%","2.6%","0.0%","9.2%","7.9%","0.0%","10.5%","2.0%","7.8%","0.0%","0.0%","0.0%","0.0%","7.2%","0.0%","0.0%","0.0%","9.2%","0.0%","0.0%","6.3%","2.4%","0.0%","7.9%","0.0%","2.3%","2.0%"
"fri_9_재입대만 7번째.jpg","8.4%","0.0%","1.6%","0.5%","0.0%","0.0%","7.0%","0.0%","1.4%","11.2%","9.8%","0.0%","9.3%","8.0%","0.0%","10.7%","0.0%","1.2%","0.8%","0.0%","0.0%","0.0%","1.6%","0.7%","0.0%","0.0%","9.3%","0.0%","0.0%","2.0%","0.0%","0.0%","8.0%","0.0%","8.4%","0.0%"
"fri_10_아카데미에서 살아남기.jpg","0.0%","0.0%","0.0%","0.0%","11.3%","2.0%","0.0%","2.3%","0.0%","0.0%","0.0%","0.0%","7.2%","17.5%","0.0%","8.2%","0.0%","0.0%","0.0%","0.0%","0.0%","9.7%","0.0%","0.0%","12.9%","2.0%","7.2%","0.0%","9.7%","0.0%","0.0%","2.3%","6.2%","0.0%","1.6%","0.0%"
"fri_11_천하제일 대사형.jpg","0.0%","0.0%","22.2%","0.0%","0.0%","0.0%","0.0%","0.0%","19.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","16.7%","0.0%","0.0%","0.0%","0.0%","22.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","19.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"fri_12_AI 닥터.jpg","0.0%","0.0%","0.0%","14.5%","2.5%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2.5%","4.7%","0.0%","2.9%","0.0%","0.0%","23.2%","0.0%","0.0%","2.2%","0.0%","20.3%","2.9%","0.0%","2.5%","0.0%","2.2%","17.4%","0.0%","0.0%","2.2%","0.0%","0.0%","0.0%"
"fri_13_퇴마록  세계편.jpg","0.0%","1.9%","19.5%","0.0%","0.0%","0.0%","0.0%","0.0%","17.1%","2.6%","0.0%","2.9%","0.0%","0.0%","2.6%","0.0%","0.0%","14.6%","0.0%","0.0%","2.3%","0.0%","19.5%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","17.1%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"fri_14_1초.jpg","3.2%","0.0%","4.3%","12.3%","0.0%","0.0%","2.7%","0.0%","3.7%","4.3%","3.7%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","3.2%","19.6%","0.0%","0.0%","0.0%","4.3%","17.2%","0.0%","0.0%","0.0%","0.0%","0.0%","18.5%","0.0%","0.0%","0.0%","0.0%","3.2%","0.0%"
"fri_15_돈구멍.jpg","0.0%","0.0%","9.3%","0.0%","0.0%","6.7%","0.0%","7.8%","8.2%","0.0%","0.0%","0.0%","4.8%","4.1%","0.0%","5.5%","0.0%","7.0%","0.0%","0.0%","0.0%","0.0%","9.3%","0.0%","0.0%","6.7%","4.8%","0.0%","0.0%","8.2%","0.0%","7.8%","4.1%","0.0%","5.6%","0.0%"
"mon_1_만남어플 중독.jpg","0.0%","0.0%","3.9%","4.1%","0.0%","0.0%","11.5%","0.0%","3.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","11.5%","16.3%","6.6%","0.0%","0.0%","0.0%","3.9%","5.8%","0.0%","0.0%","0.0%","0.0%","0.0%","8.3%","13.4%","0.0%","0.0%","0.0%","0.0%","11.5%"
"mon_2_참교육.jpg","0.0%","0.0%","0.0%","3.7%","0.0%","15.6%","0.0%","18.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","5.9%","0.0%","0.0%","0.0%","0.0%","5.2%","0.0%","15.6%","0.0%","0.0%","0.0%","4.4%","0.0%","18.2%","0.0%","0.0%","13.0%","0.0%"
"mon_3_환생천마.jpg","0.0%","0.0%","0.0%","12.3%","0.0%","0.0%","3.1%","0.0%","0.0%","0.0%","0.0%","0.0%","4.0%","3.4%","0.0%","4.6%","3.1%","3.6%","19.7%","0.0%","0.0%","0.0%","0.0%","17.2%","0.0%","0.0%","4.0%","0.0%","0.0%","14.8%","3.6%","0.0%","3.4%","0.0%","0.0%","3.1%"
"mon_4_왕과의 야행.jpg","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","20.6%","17.6%","0.0%","23.5%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","20.6%","0.0%","0.0%","0.0%","0.0%","0.0%","17.6%","0.0%","0.0%","0.0%"
"mon_5_절대검감.jpg","0.0%","0.0%","22.2%","0.0%","0.0%","0.0%","0.0%","0.0%","19.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","16.7%","0.0%","0.0%","0.0%","0.0%","22.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","19.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"mon_6_똑 닮은 딸.jpg","0.0%","11.5%","0.0%","0.0%","2.0%","0.0%","0.0%","0.0%","0.0%","15.3%","0.0%","17.2%","3.6%","5.1%","15.3%","4.1%","0.0%","0.0%","0.0%","0.0%","13.4%","1.8%","0.0%","0.0%","2.3%","0.0%","3.6%","0.0%","1.8%","0.0%","0.0%","0.0%","3.1%","0.0%","0.0%","0.0%"
"mon_7_백수세끼.jpg","0.0%","0.0%","0.0%","3.2%","0.0%","8.0%","0.0%","9.4%","0.0%","0.0%","0.0%","0.0%","8.7%","7.4%","0.0%","9.9%","0.0%","0.0%","5.1%","0.0%","0.0%","0.0%","0.0%","4.4%","0.0%","8.0%","8.7%","0.0%","0.0%","3.8%","0.0%","9.4%","7.4%","0.0%","6.7%","0.0%"
"mon_8_마음의소리였던 것.jpg","0.0%","0.0%","0.0%","9.6%","0.0%","0.9%","0.0%","1.1%","0.0%","0.0%","0.0%","0.0%","9.3%","8.0%","0.0%","10.6%","0.0%","0.0%","15.4%","0.0%","0.0%","0.0%","0.0%","13.5%","0.0%","0.9%","9.3%","0.0%","0.0%","11.6%","0.0%","1.1%","8.0%","0.0%","0.8%","0.0%"
